0	0	Actor	35291	TRUE				IDAlpha	IDActive	IDList	IDActiveList	DDAlpha	DDActive	DDList	DDActiveList
1	0	Actor	11518	TRUE			average	10660.77778	8902.333333	10914	9207.666667	10786.33333	10199.625	15398.22222	11382.33333
2	0	Actor	2782	TRUE			stdev	9810.413928	2961.080757	4981.30234	3792.501154	5563.930018	3359.556686	9226.719254	6376.141839
3	0	Actress	7942	TRUE											
4	0	Actress	8998	TRUE											
5	0	Actress	11478	TRUE											
6	0	Director	9358	TRUE											
7	0	Director	2446	TRUE											
8	0	Director	6134	TRUE											
9	1	Actor	14623	TRUE											
10	1	Actor	9603	TRUE											
11	1	Actor	11799	TRUE											
12	1	Actress	6601	TRUE											
13	1	Actress	8559	TRUE											
14	1	Actress	9799	TRUE											
15	1	Director	5384	TRUE											
16	1	Director	5946	TRUE											
17	1	Director	7807	TRUE											
27	2	Actor	10698	TRUE											
28	2	Actor	20061	TRUE											
29	2	Actor	8128	TRUE											
30	2	Actress	4232	FALSE											
31	2	Actress	12113	TRUE											
32	2	Actress	16325	TRUE											
33	2	Director	8535	FALSE											
34	2	Director	5970	TRUE											
35	2	Director	12164	TRUE											
45	3	Actor	10593	TRUE											
46	3	Actor	8038	TRUE											
47	3	Actor	7175	TRUE											
48	3	Actress	9983	TRUE											
49	3	Actress	11834	TRUE											
50	3	Actress	17218	TRUE											
51	3	Director	5699	TRUE											
52	3	Director	4560	TRUE											
53	3	Director	7769	TRUE											
63	4	Actor	16468	TRUE											
64	4	Actor	20531	TRUE											
65	4	Actor	8076	TRUE											
66	4	Actress	10373	TRUE											
67	4	Actress	6692	TRUE											
68	4	Actress	5652	TRUE											
69	4	Director	15764	TRUE											
70	4	Director	9269	TRUE											
71	4	Director	4252	TRUE											
54	5	Actor	12191	TRUE											
55	5	Actor	11666	TRUE											
56	5	Actor	9342	TRUE											
57	5	Actress	10782	TRUE											
58	5	Actress	11078	TRUE											
59	5	Actress	14966	TRUE											
60	5	Director	7950	TRUE											
61	5	Director	3622	TRUE											
62	5	Director	7270	TRUE											
36	6	Actor	24727	TRUE											
37	6	Actor	19894	TRUE											
38	6	Actor	10646	TRUE											
39	6	Actress	6054	TRUE											
40	6	Actress	31534	TRUE											
41	6	Actress	12006	TRUE											
42	6	Director	11367	TRUE											
43	6	Director	19550	TRUE											
44	6	Director	2806	TRUE											
18	7	Actor	12024	TRUE											
19	7	Actor	16574	TRUE											
20	7	Actor	9271	TRUE											
21	7	Actress	25669	TRUE											
22	7	Actress	9254	TRUE											
23	7	Actress	9246	TRUE											
24	7	Director	4039	TRUE											
25	7	Director	6478	TRUE											
26	7	Director	9886	TRUE											
